Disease,Description,Symptoms,Treatment
Acne,"Acne is a common skin condition characterized by pimples, blackheads, whiteheads, cysts, and nodules. It occurs when hair follicles become clogged with oil and dead skin cells.","Acne manifests as various types of skin lesions including pimples (papules) and pus-filled lesions (pustules), as well as blackheads (open comedones), whiteheads (closed comedones), cysts (painful, pus-filled lumps beneath the skin), and nodules (large, solid, painful lumps beneath the surface of the skin).","Effective treatments for acne include over-the-counter topical treatments such as benzoyl peroxide or salicylic acid, which help to reduce oil production and unclog pores. Prescription medications like antibiotics (topical or oral) are often used to kill acne-causing bacteria and reduce inflammation."
Bronchial Asthma,"Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, making breathing difficult. It is typically triggered by various factors, including allergens, irritants, respiratory infections, exercise, and emotional stress.","Asthma symptoms include recurrent episodes of wheezing (a whistling sound when breathing), shortness of breath, chest tightness, and coughing, especially at night or early in the morning",This includes daily use of anti-inflammatory medications such as inhaled corticosteroids to reduce airway inflammation and prevent asthma symptoms
Hypertension,"Hypertension, commonly known as high blood pressure, is a chronic medical condition where the blood pressure in the arteries is consistently elevated.","Headaches, shortness of breath, chest pain, dizziness, and nosebleeds may occur.","These include adopting a healthy diet rich in fruits, vegetables, and whole grains while limiting salt intake, maintaining a healthy weight, regular physical activity, limiting alcohol consumption, and avoiding smoking."
Migraine,"Migraine is a neurological disorder characterized by recurrent moderate to severe headaches, often accompanied by other symptoms such as nausea, vomiting, and sensitivity to light and sound.","Migraine headaches typically involve throbbing pain on one side of the head, although they can affect both sides.",Over-the-counter pain relievers like ibuprofen or aspirin may be effective for mild migraines.
Cervical spondylosis,Cervical spondylosis is a condition characterized by degenerative changes in the cervical spine (neck region) due to wear and tear over time.,"Common symptoms of cervical spondylosis include neck pain that may radiate to the shoulders and arms, stiffness in the neck, headaches (often originating from the neck), tingling or numbness in the arms or hands, and weakness in the muscles of the arms or hands.","Rest, physical therapy to strengthen neck muscles and improve range of motion, and pain management with nonsteroidal anti-inflammatory drugs (NSAIDs) or muscle relaxants."
Jaundice,"Jaundice is a medical condition characterized by yellowing of the skin, sclera (white part of the eyes), and mucous membranes due to elevated levels of bilirubin in the blood.","Yellowing skin,whites of the eyes, and mucous membranes. Other symptoms may include dark urine (due to bilirubin excretion), pale stools (due to lack of bilirubin in the intestines), itching (pruritus), fatigue, abdominal pain, nausea, and vomiting.","Various medications may be used to treat the conditions leading to jaundice, such as steroids in the treatment of some autoimmune disorders. Certain patients with cirrhosis, for example, may require treatment with diuretics and lactulose."
Malaria,"Malaria is a potentially life-threatening disease caused by parasites of the genus Plasmodium, which are transmitted to humans through the bites of infected female Anopheles mosquitoes.","The most common symptoms include recurring episodes of fever, often accompanied by chills and sweating.","Antimalarial medications are the cornerstone of treatment and include drugs like chloroquine, artemisinin-based combination therapies (ACTs), and other specific antimalarial agents."
urinary tract infection,"A urinary tract infection (UTI) is a common bacterial infection that affects any part of the urinary system, including the kidneys, ureters, bladder, and urethra.","Burning sensation or pain during urination,Cloudy or bloody urine,Pelvic pain in women.Rectal pain in men","In addition to antibiotics, drinking plenty of water and urinating frequently helps flush out bacteria from the urinary tract. Pain relievers such as ibuprofen may also be recommended to alleviate discomfort."
allergy,Allergy refers to an overreaction of the immune system to substances that are typically harmless to most people.,"Sneezing and runny or stuffy nose,Itchy, watery eyes,Swelling of the lips, tongue, or throat","Antihistamines,Decongestants,Nasal corticosteroids sprays reduce inflammation in the nasal passages and are effective for treating allergic rhinitis."
gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) is a chronic condition characterized by the backward flow of stomach acid and occasionally bile into the esophagus, leading to irritation and inflammation.","Heartburn, a burning sensation in the chest that often occurs after eating or when lying down.","Initial treatment involves lifestyle modifications such as avoiding trigger foods,eating smaller meals, maintaining a healthy weight, not lying down immediately after eating, and elevating the head of the bed., over-the-counter antacids"
drug reaction,"A drug reaction, also known as a drug allergy or adverse drug reaction (ADR), refers to an unexpected and harmful response to a medication or drug.","Skin reactions such as rash, hives, itching, or blistering,nausea, vomiting, diarrhea, or abdominal pain.","Stopping the offending drug is usually the first step to prevent further harm,Medications such as antihistamines or corticosteroids may be used to manage symptoms like itching, rash, or swelling."
peptic ulcer disease,"Peptic ulcer disease (PUD) refers to painful sores or ulcers that develop in the lining of the stomach, the first part of the small intestine (duodenum), or sometimes in the lower esophagus.","Burning stomach pain,Nausea and vomiting,Feeling of fullness or bloating","Proton pump inhibitors (PPIs) and H2-receptor antagonists (H2 blockers) are commonly used to reduce stomach acid production and allow the ulcer to heal. Antibiotics are prescribed if H. pylori infection is present,use antacids"
diabetes,Diabetes is a chronic metabolic disorder characterized by elevated blood sugar levels (hyperglycemia) due to either insufficient insulin production by the pancreas or the body's inability to effectively use insulin,"Increased thirst and frequent urination,Unexplained weight loss,Blurred vision","Monitoring blood sugar,Healthy eating,Regular exercise improves insulin sensitivity and helps manage weight."
